COUNT(DISTINCT acct_num),call_date,cumulative response,cumulative rate
28,2018/1/5,28,0.51852%
24,2018/2/5,52,0.96296%
18,2018/3/5,70,1.29630%
15,2018/4/5,85,1.57407%
30,2018/4/19,115,2.12963%
101,2018/4/20,216,4.00000%
66,2018/4/21,282,5.22222%
34,2018/4/22,316,5.85185%
92,2018/4/23,408,7.55556%
83,2018/4/24,491,9.09259%
69,2018/4/25,560,10.37037%
58,2018/4/26,618,11.44444%
41,2018/4/27,659,12.20370%
30,2018/4/28,689,12.75926%
21,2018/4/29,710,13.14815%
37,2018/4/30,747,13.83333%
16,2018/5/5,763,14.12963%
8,2018/5/13,771,14.27778%
10,2018/5/14,781,14.46296%
10,2018/5/15,791,14.64815%
7,2018/5/16,798,14.77778%
10,2018/5/17,808,14.96296%
13,2018/5/18,821,15.20370%
7,2018/5/19,828,15.33333%
1,2018/5/20,829,15.35185%
2,2018/5/21,831,15.38889%
3,2018/5/22,834,15.44444%
6,2018/5/23,840,15.55556%
7,2018/5/24,847,15.68519%
5,2018/5/25,852,15.77778%
5,2018/5/26,857,15.87037%
3,2018/5/27,860,15.92593%
3,2018/5/28,863,15.98148%
5,2018/5/29,868,16.07407%
4,2018/5/30,872,16.14815%
10,2018/6/5,882,16.33333%
22,2018/7/5,904,16.74074%
15,2018/8/5,919,17.01852%
14,2018/9/5,933,17.27778%
9,2018/10/5,942,17.44444%
12,2018/11/5,954,17.66667%
9,2018/12/5,963,17.83333%